Week,S,B
2020-10-11,15,8
2020-10-18,15,12
2020-10-25,18,6
2020-11-01,5,9
2020-11-08,5,6
2020-11-15,5,5
2020-11-22,5,6
2020-11-29,6,7
2020-12-06,9,8
2020-12-13,7,6
2020-12-20,6,6
2020-12-27,8,8
2021-01-03,6,5
2021-01-10,4,5
2021-01-17,5,5
2021-01-24,3,5
2021-01-31,4,3
2021-02-07,2,3
2021-02-14,4,2
2021-02-21,6,5
2021-02-28,4,7
2021-03-07,7,7
2021-03-14,6,6
2021-03-21,8,7
2021-03-28,22,15
2021-04-04,18,10
2021-04-11,38,15
2021-04-18,39,13
2021-04-25,34,12
2021-05-02,44,11
2021-05-09,41,10
2021-05-16,39,14
2021-05-23,41,26
2021-05-30,78,71
2021-06-06,57,36
2021-06-13,44,26
2021-06-20,36,15
2021-06-27,39,18
2021-07-04,38,21
2021-07-11,59,54
2021-07-18,100,63
2021-07-25,68,37
2021-08-01,63,36
2021-08-08,62,32
2021-08-15,57,30
2021-08-22,53,37
2021-08-29,43,25
2021-09-05,53,19
2021-09-12,34,10
2021-09-19,30,12
2021-09-26,25,11
2021-10-03,41,15
